Unnamed: 0||Product ID|Variant ID|Core SKU|Available|Tồn Unicorn|Unnamed: 7
|0.0| 37657        | 115992       | APN6150-HOG-S   | -18         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|1.0| 37657        | 115993       | APN6150-HOG-M   | -25         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|2.0| 37657        | 115994       | APN6150-HOG-L   | -25         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|3.0| 37657        | 115995       | APN6150-HOG-XL  | -24         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|4.0| 37657        | 115996       | APN6150-HOG-2XL | -21         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|5.0| 37657        | 115997       | APN6150-TMN-S   | 57          ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|6.0| 37657        | 115998       | APN6150-TMN-M   | -21         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|7.0| 37657        | 115999       | APN6150-TMN-L   | -21         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|8.0| 37657        | 116000       | APN6150-TMN-XL  | -22         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|9.0| 37657        | 116001       | APN6150-TMN-2XL | -19         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|10.0| 37657        | 116002       | APN6150-TRA-S   | -24         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|11.0| 37657        | 116003       | APN6150-TRA-M   | -24         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|12.0| 37657        | 116004       | APN6150-TRA-L   | -25         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|13.0| 37657        | 116005       | APN6150-TRA-XL  | -22         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|14.0| 37657        | 116006       | APN6150-TRA-2XL | -21         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|15.0| 37657        | 116007       | APN6150-DEN-S   | 587         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|16.0| 37657        | 116008       | APN6150-DEN-M   | 625         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|17.0| 37657        | 116009       | APN6150-DEN-L   | 366         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|18.0| 37657        | 116010       | APN6150-DEN-XL  | 134         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|19.0| 37657        | 116011       | APN6150-DEN-2XL | 103         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|20.0| 37685        | 116497       | TSN6262-CBA-S   | 231         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|21.0| 37685        | 116498       | TSN6262-CBA-M   | 2           ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|22.0| 37685        | 116499       | TSN6262-CBA-L   | -9          ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|23.0| 37685        | 116500       | TSN6262-CBA-XL  | -21         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|24.0| 37685        | 116503       | TSN6262-HOD-S   | -7          ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|25.0| 37685        | 116506       | TSN6262-HOD-XL  | -24         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|26.0| 37685        | 116509       | TSN6262-BEE-S   | -2          ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|27.0| 37685        | 116510       | TSN6262-BEE-M   | -23         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|28.0| 37685        | 116511       | TSN6262-BEE-L   | -14         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|29.0| 37685        | 116512       | TSN6262-BEE-XL  | -17         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|30.0| 37685        | 116515       | TSN6262-DEN-S   | 925         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|31.0| 37685        | 116516       | TSN6262-DEN-M   | 1234        ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|32.0| 37685        | 116517       | TSN6262-DEN-L   | 498         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|33.0| 37685        | 116518       | TSN6262-DEN-XL  | 30          ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|34.0| 37685        | 116521       | TSN6262-TRA-S   | -24         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|35.0| 37685        | 116522       | TSN6262-TRA-M   | -24         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|36.0| 37685        | 116523       | TSN6262-TRA-L   | -24         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|37.0| 37685        | 116524       | TSN6262-TRA-XL  | -24         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|38.0| 37685        | 116527       | TSN6262-XLA-S   | 137         ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
|39.0| 37685        | 116528       | TSN6262-XLA-M   | 13          ||
+-----+--------------+--------------+-----------------+-------------+---------------+|||||||
